月份,日活用户,总用户数,使用方案,服务器(元),数据库(元),缓存(元),存储+CDN(元),其他(元),月度成本(元),累计成本(元),关键里程碑
第1月,30,100,基础版,120,0,0,80,15,215,215,项目上线
第2月,40,120,基础版,120,0,0,100,15,235,450,用户增长
第3月,55,160,基础版,120,0,0,130,20,270,720,启用CDN
第4月,70,200,基础版→标准版,250,400,150,200,30,1030,1750,数据库分离
第5月,85,260,标准版,250,400,150,250,30,1080,2830,Redis独立
第6月,95,320,标准版,250,400,150,300,30,1130,3960,性能优化
第7月,105,380,标准版,250,400,150,350,30,1180,5140,用户稳定增长
第8月,115,440,标准版,250,400,150,400,40,1240,6380,准备升级
第9月,125,500,标准版→高级版,350,800,300,500,70,2020,8400,架构升级
第10月,135,560,高级版,350,800,300,600,80,2130,10530,负载均衡
第11月,145,620,高级版,350,800,300,700,90,2240,12770,高可用部署
第12月,150,650,高级版,350,800,300,750,100,2300,15070,年度总结
