序号,项目,选型,数量,单价,单位,月成本(元),年成本(元),备注
,,,,,,,,
,【Sealos 单价参考】,,,,,,,
,CPU,,,-,12.33,核/月,,,
,内存,,,-,6.22,G/月,,,
,存储,,,-,0.38,G/月,,,
,端口,,,-,5.04,个/月,,,
,流量,,,-,0.80,G,,,
,,,,,,,,
,【运营成本】,,,,,,,
1,Sealos CPU,2核,2,12.33,核/月,24.66,295.92,
2,Sealos 内存,4G,4,6.22,G/月,24.87,298.44,
3,Sealos 存储,40G,40,0.38,G/月,15.08,180.96,
4,Sealos 端口,2个,2,5.04,个/月,10.08,120.96,HTTP+HTTPS
5,Sealos 流量,10G,10,0.80,G,8.00,96.00,API流量
,Sealos小计,2C4G40G,,,,,82.69,992.28,
6,对象存储,阿里云OSS 100GB资源包,1,126,元/年,10.5,126,首年够用
7,OSS流量,CDN回源+CDN 23GB/月,12,5.3,元/月,5.3,64,按月计费
8,数据库备份,OSS冷存储 1GB×90天,1,6,元/年,0.5,6,每日全量备份
9,客户端下载,GitHub Releases,1,0,免费,0,0,免费托管
10,域名,totalrpbox.com,1,98,元/年,8.17,98,已租用
11,SSL证书,Let's Encrypt,1,0,免费,0,0,免费自动续期
12,杂项预留,邮件/监控等,1,5,元/月,5,60,预留额度
,运营小计,,,,,112,1346,
,,,,,,,,
,【开发成本】,,,,,,,
13,AI辅助开发,Claude Pro会员,1,145,元/月,145,1740,$20/月 汇率7.25
,开发小计,,,,,145,1740,
,,,,,,,,
,【总计】,,,,,257,3086,
,,,,,,,,
,备注:,,,,,,,,
,适用场景:,50日活 300注册用户,,,,,
,服务器配置:,2核4G 40G存储 10G流量 2端口,,,,,
,OSS容量:,100GB(首年够用约51-95GB),,,,,
,月流量:,Sealos 10G(API) + OSS 23G(图片),,,,,
,底价说明:,Claude API按量计费约$15/百万token(输入)+$75/百万token(输出) Pro会员包月更划算,,,,,
